CRN , Subject , Course Number , Section , Title ,  Credits , College , Actual Enroll , Seats Available ,Begin Time , End Time, Buildings, Room , Monday , Tuesday , Wednesday , Thursday , Friday , Saturday , Instructor First , Instructor Last
10211,BIOC,246,0,Biochemistry for Nursing,4,FM,60,1,10:01,10:59,.,.,false,false,false,false,true,false,Julnar,Usta
10212,BIOC,305A,0,Biochemistry Research Seminar,0,FM,0,50,.,.,.,.,false,false,false,false,false,false,Pierre,Khoueiry
10213,BIOC,305B,0,Biochemistry Research Seminar,0,FM,3,17,.,.,.,.,false,false,false,false,false,false,Pierre,Khoueiry
10214,BIOC,305C,0,Biochemistry Research Seminar,1,FM,10,30,.,.,.,.,false,false,false,false,false,false,Pierre,Khoueiry
10215,BIOC,317,0,Sel. Topics in Biochemistry,1,FM,0,25,.,.,.,.,false,false,false,false,false,false,Firas,Kobaissy
10216,BIOC,321,0,Nucleic Acids &Basic Genetics,1,FM,34,26,10:31,11:59,.,.,true,false,false,false,false,false,Nadine,Darwiche
10217,BIOC,322,0,Protein Biochemistry,1,FM,37,23,11:01,12:29,.,.,false,true,false,true,false,false,Firas,Kobaissy
10218,BIOC,323,0,Cellular Metabol.& Regulation,2,FM,19,36,13:01,14:29,.,.,false,true,false,true,false,false,Aida,Habib Abdul Karim
10219,BIOC,325,0,Receptors & Signal Transduct,2,FM,22,8,13:01,14:29,.,.,true,false,true,false,false,false,Ayad A,Jaffa
10220,BIOC,327,0,Cancer Genomics,1,FM,0,55,11:01,12:29,.,.,true,false,true,false,false,false,.,STAFF
10221,BIOC,395A,0,Comprehensive Exam,0,FM,2,23,.,.,.,.,false,false,false,false,false,false,Aida,Habib Abdul Karim
10222,BIOC,399,0,MS Thesis,7.65,FM,2,23,.,.,.,.,false,false,false,false,false,false,Ayad A,Jaffa
10223,BIOC,399A,0,MS Thesis,0,FM,3,22,.,.,.,.,false,false,false,false,false,false,Ayad A,Jaffa
10224,BIOC,399B,0,MS Thesis,0,FM,4,21,.,.,.,.,false,false,false,false,false,false,Ayad A,Jaffa
10225,BIOL,101,1,Basic Concepts in Biology,3,AS,31,4,10:00,10:50,PHYS,219,true,false,true,false,true,false,Nada,Sinnu
10226,BIOL,101,2,Basic Concepts in Biology,3,AS,26,9,12:00,12:50,PHYS,327,true,false,true,false,true,false,Nada,Sinnu
10227,BIOL,104,1,Introduct.to Organismal Biolo.,3,AS,31,-1,11:00,11:50,PHYS,331,true,false,true,false,true,false,Hind,Rizkallah
10228,BIOL,104,2,Introduct.to Organismal Biolo.,3,AS,16,14,11:00,12:15,PHYS,331,false,true,false,true,false,false,Hala,Muhtasib
10229,BIOL,106,1,Contemp Issues in Biology,3,AS,34,1,09:30,10:45,PHYS,331,false,true,false,true,false,false,Imad,Saoud
10230,BIOL,200,B1,Diversity of Life,0,AS,5,4,10:00,12:50,BIOL,108,true,false,false,false,false,false,Hind,Rizkallah
10231,BIOL,200,B2,Diversity of Life,0,AS,9,0,13:00,15:50,BIOL,108,true,false,false,false,false,false,Hind,Rizkallah
10232,BIOL,200,B3,Diversity of Life,0,AS,8,1,11:00,13:50,BIOL,108,false,true,false,false,false,false,Hind,Rizkallah
10233,BIOL,200,B4,Diversity of Life,0,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10234,BIOL,200,B5,Diversity of Life,0,AS,8,1,14:00,16:50,BIOL,108,false,true,false,false,false,false,Hind,Rizkallah
10235,BIOL,200,B6,Diversity of Life,0,AS,10,-1,13:00,15:50,BIOL,108,false,false,true,false,false,false,Hind,Rizkallah
10236,BIOL,200,B7,Diversity of Life,0,AS,10,-1,16:00,18:50,BIOL,108,true,false,false,false,false,false,Hind,Rizkallah
10237,BIOL,200,B8,Diversity of Life,0,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10238,BIOL,200,B9,Diversity of Life,0,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10239,BIOL,200,L1,Diversity of Life,4,AS,31,5,09:30,10:45,CHSC,AUDITORIUM,false,true,false,true,false,false,Hind,Rizkallah
10240,BIOL,200,L2,Diversity of Life,4,AS,19,16,08:00,09:15,PHYS,217,false,true,false,true,false,false,Hind,Rizkallah
10241,BIOL,201,B1,General Biology I,0,AS,11,-1,11:00,13:50,BIOL,210,true,false,false,false,false,false,Mohammad,Al-Zein
10242,BIOL,201,B10,General Biology I,0,AS,10,0,11:00,13:50,BIOL,210,false,false,false,false,true,false,Mohammad,Al-Zein
10243,BIOL,201,B11,General Biology I,0,AS,11,-1,14:00,16:50,BIOL,210,false,false,false,false,true,false,Mohammad,Al-Zein
10244,BIOL,201,B12,General Biology I,0,AS,12,-2,11:00,13:50,BIOL,206,true,false,false,false,false,false,Mohammad,Al-Zein
10245,BIOL,201,B13,General Biology I,0,AS,8,2,14:00,16:50,BIOL,206,true,false,false,false,false,false,Mohammad,Al-Zein
10246,BIOL,201,B14,General Biology I,0,AS,12,-2,11:00,13:50,BIOL,206,false,false,false,false,true,false,Mohammad,Al-Zein
10247,BIOL,201,B15,General Biology I,0,AS,10,0,14:00,16:50,BIOL,206,false,false,false,false,true,false,Mohammad,Al-Zein
10248,BIOL,201,B16,General Biology I,0,AS,10,0,11:00,13:50,BIOL,208,true,false,false,false,false,false,Mohammad,Al-Zein
10249,BIOL,201,B17,General Biology I,0,AS,12,-2,14:00,16:50,BIOL,208,true,false,false,false,false,false,Mohammad,Al-Zein
10250,BIOL,201,B18,General Biology I,0,AS,11,-1,11:00,13:50,BIOL,208,false,true,false,false,false,false,Mohammad,Al-Zein
10251,BIOL,201,B19,General Biology I,0,AS,9,1,14:00,16:50,BIOL,208,false,true,false,false,false,false,Mohammad,Al-Zein
10252,BIOL,201,B2,General Biology I,0,AS,10,0,14:00,16:50,BIOL,210,true,false,false,false,false,false,Mohammad,Al-Zein
10253,BIOL,201,B20,General Biology I,0,AS,11,-1,11:00,13:50,BIOL,208,false,false,true,false,false,false,Mohammad,Al-Zein
10254,BIOL,201,B21,General Biology I,0,AS,11,-1,14:00,16:50,BIOL,208,false,false,true,false,false,false,Mohammad,Al-Zein
10255,BIOL,201,B22,General Biology I,0,AS,10,0,11:00,13:50,BIOL,208,false,false,false,true,false,false,Mohammad,Al-Zein
10256,BIOL,201,B23,General Biology I,0,AS,11,-1,14:00,16:50,BIOL,208,false,false,false,true,false,false,Mohammad,Al-Zein
10257,BIOL,201,B24,General Biology I,0,AS,10,0,08:00,10:50,BIOL,208,false,false,false,false,true,false,Mohammad,Al-Zein
10258,BIOL,201,B25,General Biology I,0,AS,11,-1,11:00,13:50,BIOL,208,false,false,false,false,true,false,Mohammad,Al-Zein
10259,BIOL,201,B26,General Biology I,0,AS,12,-2,14:00,16:50,BIOL,208,false,false,false,false,true,false,Mohammad,Al-Zein
10260,BIOL,201,B27,General Biology I,0,AS,11,-1,11:00,13:50,BIOL,206,false,true,false,false,false,false,Mohammad,Al-Zein
10261,BIOL,201,B28,General Biology I,0,AS,11,-1,11:00,13:50,BIOL,206,false,false,true,false,false,false,Mohammad,Al-Zein
10262,BIOL,201,B29,General Biology I,0,AS,9,1,11:00,13:50,BIOL,206,false,false,false,true,false,false,Mohammad,Al-Zein
10263,BIOL,201,B3,General Biology I,0,AS,11,-1,11:00,13:50,BIOL,210,false,true,false,false,false,false,Mohammad,Al-Zein
10264,BIOL,201,B30,General Biology I,0,AS,11,-1,08:00,10:50,BIOL,206,false,false,false,false,true,false,Mohammad,Al-Zein
13338,BIOL,201,B31,General Biology I,0,AS,6,0,14:00,16:50,BIOL,206,false,false,false,true,false,false,Mohammad,Al-Zein
13339,BIOL,201,B32,General Biology I,0,AS,5,1,14:00,16:50,BIOL,206,false,false,false,true,false,false,Mohammad,Al-Zein
13340,BIOL,201,B33,General Biology I,0,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
13341,BIOL,201,B34,General Biology I,0,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10265,BIOL,201,B4,General Biology I,0,AS,12,-2,14:00,16:50,BIOL,210,false,true,false,false,false,false,Mohammad,Al-Zein
10266,BIOL,201,B5,General Biology I,0,AS,10,0,11:00,13:50,BIOL,210,false,false,true,false,false,false,Mohammad,Al-Zein
10267,BIOL,201,B6,General Biology I,0,AS,12,-2,14:00,16:50,BIOL,210,false,false,true,false,false,false,Mohammad,Al-Zein
10268,BIOL,201,B7,General Biology I,0,AS,9,1,11:00,13:50,BIOL,210,false,false,false,true,false,false,Mohammad,Al-Zein
10269,BIOL,201,B8,General Biology I,0,AS,9,1,14:00,16:50,BIOL,210,false,false,false,true,false,false,Mohammad,Al-Zein
10270,BIOL,201,B9,General Biology I,0,AS,12,-2,08:00,10:50,BIOL,210,false,false,false,false,true,false,Mohammad,Al-Zein
10271,BIOL,201,L1,General Biology I,4,AS,165,-3,09:30,10:45,BIOL,SLH,false,true,false,true,false,false,Noel,Ghanem
10272,BIOL,201,L2,General Biology I,4,AS,165,-3,08:00,09:15,BIOL,SLH,false,true,false,true,false,false,Zakaria,Kambris
10273,BIOL,202,B1,General Biology II,0,AS,10,-1,14:00,16:50,BIOL,206,false,true,false,false,false,false,Mohammad,Al-Zein
10274,BIOL,202,B2,General Biology II,0,AS,8,1,14:00,16:50,BIOL,206,false,false,true,false,false,false,Mohammad,Al-Zein
10275,BIOL,202,B3,General Biology II,0,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10276,BIOL,202,L1,General Biology II,4,AS,18,9,12:00,12:50,PHYS,217,true,false,true,false,true,false,Sawsan,Kuraydiyyah
10277,BIOL,209,1,Concepts and Connections,3,AS,33,2,10:00,10:50,PHYS,329,true,false,true,false,true,false,Hind,Rizkallah
10278,BIOL,209,2,Concepts and Connections,3,AS,35,0,11:00,11:50,PHYS,217,true,false,true,false,true,false,Heinrich,Dohna
10279,BIOL,210,1,Human Biology,3,AS,36,-1,08:00,08:50,BIOL,004,true,false,true,false,true,false,Nada,Sinnu
10280,BIOL,210,2,Human Biology,3,AS,35,0,11:00,12:15,PHYS,329,false,true,false,true,false,false,Nada,Sinnu
10281,BIOL,210,3,Human Biology,3,AS,35,0,11:00,12:15,BIOL,004,false,true,false,true,false,false,Rabih,Talhouk
10282,BIOL,220,1,Introductory Biochemistry,3,AS,22,3,09:30,10:45,BIOL,004,false,true,false,true,false,false,Elias,Baydoun
10284,BIOL,223,B1,Genetics,0,AS,10,-1,11:00,13:50,BIOL,310,false,true,false,false,false,false,Layane,Hajjar
10285,BIOL,223,B2,Genetics,0,AS,10,-1,14:00,16:50,BIOL,310,false,true,false,false,false,false,Layane,Hajjar
10286,BIOL,223,B3,Genetics,0,AS,10,-1,11:00,13:50,BIOL,310,false,false,false,false,true,false,Layane,Hajjar
10287,BIOL,223,B4,Genetics,0,AS,7,2,10:00,12:50,BIOL,310,false,false,true,false,false,false,Layane,Hajjar
10288,BIOL,223,B5,Genetics,0,AS,8,1,13:00,15:50,BIOL,310,false,false,true,false,false,false,Layane,Hajjar
10289,BIOL,223,B6,Genetics,0,AS,9,0,11:00,13:50,BIOL,310,false,false,false,true,false,false,Layane,Hajjar
10290,BIOL,223,B7,Genetics,0,AS,10,-1,14:00,16:50,BIOL,310,false,false,false,true,false,false,Layane,Hajjar
10291,BIOL,223,B8,Genetics,0,AS,8,1,08:00,10:50,BIOL,310,false,false,false,false,true,false,Layane,Hajjar
10292,BIOL,223,L1,Genetics,4,AS,29,-2,09:00,09:50,BIOL,SLH,true,false,true,false,false,false,Colin Andrew,Smith
10293,BIOL,223,L2,Genetics,4,AS,19,-1,09:00,09:50,BIOL,SLH,true,false,true,false,false,false,Colin Andrew,Smith
10294,BIOL,223,L3,Genetics,4,AS,24,3,09:00,09:50,BIOL,SLH,true,false,true,false,false,false,Colin Andrew,Smith
10295,BIOL,224,B1,Microbiology,0,AS,12,-2,14:00,16:50,BIOL,312,false,true,false,false,false,false,Layane,Hajjar
10296,BIOL,224,B2,Microbiology,0,AS,12,-2,14:00,16:50,BIOL,312,false,false,true,false,false,false,Layane,Hajjar
10297,BIOL,224,B3,Microbiology,0,AS,11,-1,14:00,16:50,BIOL,312,false,false,false,true,false,false,Layane,Hajjar
10298,BIOL,224,B4,Microbiology,0,AS,12,-2,14:00,16:50,BIOL,312,false,false,false,false,true,false,Layane,Hajjar
10299,BIOL,224,L1,Microbiology,4,AS,47,-7,11:00,11:50,CHEM,101,true,false,true,false,true,false,Mike,Osta
10300,BIOL,240,1,Animal Behavior,3,AS,17,8,13:00,13:50,PHYS,217,true,false,true,false,true,false,Riyad,Sadek
10301,BIOL,241,B1,Biology of Invertebrates,0,AS,7,2,11:00,13:50,BIOL,108,false,false,false,true,false,false,Layane,Hajjar
10302,BIOL,241,B2,Biology of Invertebrates,0,AS,9,0,14:00,16:50,BIOL,108,false,false,false,true,false,false,Layane,Hajjar
10303,BIOL,241,B3,Biology of Invertebrates,0,AS,11,-2,13:00,15:50,BIOL,108,false,false,false,false,true,false,Layane,Hajjar
10304,BIOL,241,B4,Biology of Invertebrates,0,AS,9,-9,16:00,18:50,BIOL,108,false,false,false,false,true,false,Layane,Hajjar
10305,BIOL,241,L1,Biology of Invertebrates,4,AS,36,-9,12:00,12:50,BIOL,004,true,false,true,false,true,false,Khouzama,Knio
10306,BIOL,244,1,Introduction to Neurobiology,3,AS,4,16,12:30,13:45,PHYS,219,false,true,false,true,false,false,Noel,Ghanem
10307,BIOL,244L,B1,Neurobiology Lab,1,AS,5,3,14:00,16:50,BIOL,306,false,false,false,true,false,false,Noel,Ghanem
10309,BIOL,246,B1,Marine Biology,0,AS,9,0,14:00,16:50,BIOL,110,false,false,false,true,false,false,Mohammad,Al-Zein
10310,BIOL,246,B2,Marine Biology,0,AS,3,6,08:00,10:50,BIOL,110,false,false,false,true,false,false,Mohammad,Al-Zein
10311,BIOL,246,B3,Marine Biology,0,AS,9,0,14:00,16:50,BIOL,110,false,false,false,false,true,false,Mohammad,Al-Zein
10312,BIOL,246,L1,Marine Biology,4,AS,21,6,12:30,13:45,PHYS,331,false,true,false,true,false,false,Michel,Bariche
10313,BIOL,247,1,Animal Physiology,3,AS,25,0,10:00,10:50,PHYS,215,true,false,true,false,true,false,Sawsan,Kuraydiyyah
10314,BIOL,252,B1,Ecology,0,AS,7,2,14:00,16:50,BIOL,110,false,true,false,false,false,false,Riyad,Sadek
10315,BIOL,252,B2,Ecology,0,AS,8,1,14:00,16:50,BIOL,110,false,false,true,false,false,false,Riyad,Sadek
10316,BIOL,252,B3,Ecology,0,AS,4,5,14:00,16:50,BIOL,110,true,false,false,false,false,false,Riyad,Sadek
10317,BIOL,252,B4,Ecology,0,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
