CRN , Subject , Course Number , Section , Title ,  Credits , College , Actual Enroll , Seats Available ,Begin Time , End Time, Buildings, Room , Monday , Tuesday , Wednesday , Thursday , Friday , Saturday , Instructor First , Instructor Last
10590,CHEM,101,E1,General Chemistry I,0,AS,29,1,08:00,08:50,PHYS,219,false,false,false,false,true,false,Randa,Abi Rafi'
10591,CHEM,101,E2,General Chemistry I,0,AS,24,6,13:00,13:50,CHEM,101,false,false,false,false,true,false,Randa,Abi Rafi'
10592,CHEM,101,E3,General Chemistry I,0,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10593,CHEM,101,E4,General Chemistry I,0,AS,27,3,09:00,09:50,PHYS,219,false,false,false,false,true,false,Randa,Abi Rafi'
10594,CHEM,101,E5,General Chemistry I,0,AS,23,7,08:00,08:50,PHYS,331,false,false,false,false,true,false,Houssam,Rassy
10595,CHEM,101,E6,General Chemistry I,0,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10596,CHEM,101,L1,General Chemistry I,3,AS,54,6,08:00,08:50,PHYS,219,true,false,true,false,false,false,Randa,Abi Rafi'
10597,CHEM,101,L2,General Chemistry I,3,AS,49,11,08:00,08:50,PHYS,219,false,true,false,true,false,false,Houssam,Rassy
10598,CHEM,101L,B1,General Chemistry Laboratory I,0,AS,9,1,13:00,15:59,CHEM,111,false,true,false,false,false,false,Suha,Al Hakim
10599,CHEM,101L,B10,General Chemistry Laboratory I,0,AS,5,5,13:00,15:59,CHEM,111,false,false,false,false,true,false,Mohamad,Al-Hallak
10600,CHEM,101L,B11,General Chemistry Laboratory I,0,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10601,CHEM,101L,B2,General Chemistry Laboratory I,0,AS,11,-1,13:00,15:59,CHEM,207,false,true,false,false,false,false,Abdel Aziz,Kordieh
10602,CHEM,101L,B3,General Chemistry Laboratory I,0,AS,8,2,13:00,15:59,CHEM,201,false,true,false,false,false,false,Daniela,Sayah
10603,CHEM,101L,B4,General Chemistry Laboratory I,0,AS,4,6,13:00,15:59,CHEM,205,false,true,false,false,false,false,Cynthia,Antossian
10604,CHEM,101L,B5,General Chemistry Laboratory I,0,AS,10,0,13:00,15:59,CHEM,107,false,false,false,true,false,false,Cynthia,Antossian
10605,CHEM,101L,B6,General Chemistry Laboratory I,0,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10606,CHEM,101L,B7,General Chemistry Laboratory I,0,AS,10,0,13:00,15:59,CHEM,201,false,false,false,true,false,false,Daniela,Sayah
10607,CHEM,101L,B8,General Chemistry Laboratory I,0,AS,9,1,13:00,15:59,CHEM,205,false,false,false,false,true,false,Abdel Aziz,Kordieh
10608,CHEM,101L,B9,General Chemistry Laboratory I,0,AS,4,6,13:00,15:59,CHEM,107,false,false,false,false,true,false,Saeedeh,Marvi
10609,CHEM,101L,BL,General Chemistry Laboratory I,1,AS,72,28,14:00,14:50,CHEM,001,true,false,false,false,false,false,Hana,Deeb
10610,CHEM,102,1,General Chemistry II,3,AS,4,26,09:30,10:45,PHYS,327,false,true,false,true,false,false,Mazen,Ghoul
10611,CHEM,102L,B1,General Chemistry Lab. II,0,AS,4,6,13:00,15:59,CHEM,205,false,false,false,true,false,false,Suha,Al Hakim
10612,CHEM,102L,BL,General Chemistry Lab. II,1,AS,4,6,13:00,13:50,PHYS,215,true,false,false,false,false,false,Hana,Deeb
