CRN , Subject , Course Number , Section , Title ,  Credits , College , Actual Enroll , Seats Available ,Begin Time , End Time, Buildings, Room , Monday , Tuesday , Wednesday , Thursday , Friday , Saturday , Instructor First , Instructor Last
11052,ECON,101,E1,Intr. to Microeconomics,0,AS,30,0,12:00,12:50,NICELY,321,true,false,false,false,false,false,Pamela,Nader
11053,ECON,101,E2,Intr. to Microeconomics,0,AS,31,-1,14:00,14:50,NICELY,321,true,false,false,false,false,false,Pamela,Nader
11054,ECON,101,E3,Intr. to Microeconomics,0,AS,30,0,11:00,11:50,NICELY,321,true,false,false,false,false,false,Pamela,Nader
11055,ECON,101,L1,Intr. to Microeconomics,3,AS,91,-1,09:00,09:50,WEST,BATHISH,true,false,true,false,false,false,Maya,Kanaan
11056,ECON,203,1,Survey of Economics,3,AS,28,-3,16:00,17:15,NICELY,323,true,false,true,false,false,false,Makram,Bou Nassar
11057,ECON,203,2,Survey of Economics,3,AS,23,2,12:30,13:45,NICELY,410,false,true,false,true,false,false,Sylvia,Elias Rubeiz
11058,ECON,211,E1,Element.Microeconomics Theory,0,AS,28,2,08:00,08:50,NICELY,323,false,true,false,false,false,false,Raja,Sabra
11059,ECON,211,E10,Element.Microeconomics Theory,0,AS,21,9,15:00,15:50,NICELY,320,false,false,false,false,true,false,Raja,Sabra
11060,ECON,211,E11,Element.Microeconomics Theory,0,AS,28,2,15:00,15:50,NICELY,323,false,false,true,false,false,false,Malak,Makki
11061,ECON,211,E12,Element.Microeconomics Theory,0,AS,26,4,16:00,16:50,NICELY,212,false,false,true,false,false,false,Malak,Makki
11062,ECON,211,E13,Element.Microeconomics Theory,0,AS,13,17,17:00,17:50,NICELY,412,false,false,true,false,false,false,Nora,El-Baba
11063,ECON,211,E14,Element.Microeconomics Theory,0,AS,10,20,15:00,15:50,NICELY,414,false,false,false,false,true,false,Pamela,Nader
11064,ECON,211,E15,Element.Microeconomics Theory,0,AS,13,17,16:00,16:50,NICELY,323,false,false,false,false,true,false,Ghina,Makki
11065,ECON,211,E16,Element.Microeconomics Theory,0,AS,29,1,15:00,15:50,NICELY,212,false,false,true,false,false,false,Ghina,Tabsh
11066,ECON,211,E17,Element.Microeconomics Theory,0,AS,19,11,16:00,16:50,NICELY,325,false,false,true,false,false,false,Nora,El-Baba
11067,ECON,211,E18,Element.Microeconomics Theory,0,AS,10,20,17:00,17:50,NICELY,325,false,false,true,false,false,false,Ghina,Tabsh
11068,ECON,211,E19,Element.Microeconomics Theory,0,AS,16,14,15:00,15:50,NICELY,325,false,false,false,false,true,false,Ghina,Makki
11069,ECON,211,E2,Element.Microeconomics Theory,0,AS,18,12,08:00,08:50,NICELY,323,false,false,false,true,false,false,Raja,Sabra
11070,ECON,211,E20,Element.Microeconomics Theory,0,AS,6,24,16:00,16:50,NICELY,323,false,false,false,false,true,false,Ghina,Makki
11071,ECON,211,E3,Element.Microeconomics Theory,0,AS,31,-1,14:00,14:50,BLISS,203,false,false,false,true,false,false,Malak,Makki
11072,ECON,211,E4,Element.Microeconomics Theory,0,AS,10,20,17:00,17:50,NICELY,322,false,false,false,true,false,false,Malak,Makki
11073,ECON,211,E5,Element.Microeconomics Theory,0,AS,26,4,15:30,16:20,PHYS,217,false,false,false,true,false,false,Ghina,Makki
11074,ECON,211,E6,Element.Microeconomics Theory,0,AS,29,1,10:00,10:50,NICELY,210,false,false,false,false,true,false,Raja,Sabra
11075,ECON,211,E7,Element.Microeconomics Theory,0,AS,28,2,11:00,11:50,NICELY,323,false,false,false,false,true,false,Pamela,Nader
11076,ECON,211,E8,Element.Microeconomics Theory,0,AS,31,-1,09:00,09:50,NICELY,323,false,false,false,false,true,false,Hiba,Hamade
11077,ECON,211,E9,Element.Microeconomics Theory,0,AS,30,0,14:00,14:50,NICELY,325,false,false,false,false,true,false,Raja,Sabra
11078,ECON,211,L1,Element.Microeconomics Theory,3,AS,90,60,.,.,.,.,false,false,false,false,false,false,Hossein,Radmard
11079,ECON,211,L2,Element.Microeconomics Theory,3,AS,113,37,.,.,.,.,false,false,false,false,false,false,Hossein,Radmard
11080,ECON,211,L3,Element.Microeconomics Theory,3,AS,139,11,.,.,.,.,false,false,false,false,false,false,Hossein,Radmard
11081,ECON,211,L4,Element.Microeconomics Theory,3,AS,80,70,.,.,.,.,false,false,false,false,false,false,Hossein,Radmard
11082,ECON,212,E1,Element.Macroeconomics Theory,0,AS,29,1,12:00,12:50,NICELY,417,true,false,false,false,false,false,Malak,Makki
11083,ECON,212,E10,Element.Macroeconomics Theory,0,AS,29,1,17:00,17:50,NICELY,412,true,false,false,false,false,false,Dana,Hamdan
11084,ECON,212,E11,Element.Macroeconomics Theory,0,AS,20,10,09:00,09:50,NICELY,323,true,false,false,false,false,false,Raja,Sabra
11085,ECON,212,E12,Element.Macroeconomics Theory,0,AS,28,2,10:00,10:50,NICELY,322,true,false,false,false,false,false,Raja,Sabra
11086,ECON,212,E13,Element.Macroeconomics Theory,0,AS,29,1,13:00,13:50,NICELY,414,true,false,false,false,false,false,Raja,Sabra
11087,ECON,212,E14,Element.Macroeconomics Theory,0,AS,30,0,11:00,11:50,NICELY,412,true,false,false,false,false,false,Malak,Makki
11088,ECON,212,E15,Element.Macroeconomics Theory,0,AS,28,2,13:00,13:50,NICELY,322,false,false,false,false,true,false,Iyad,El-Khalil
11089,ECON,212,E2,Element.Macroeconomics Theory,0,AS,29,1,13:00,13:50,NICELY,322,false,false,true,false,false,false,Iyad,El-Khalil
11090,ECON,212,E3,Element.Macroeconomics Theory,0,AS,31,-1,15:00,15:50,NICELY,415,true,false,false,false,false,false,Raja,Sabra
11091,ECON,212,E4,Element.Macroeconomics Theory,0,AS,29,1,15:00,15:50,PHYS,215,false,false,true,false,false,false,Iyad,El-Khalil
11092,ECON,212,E5,Element.Macroeconomics Theory,0,AS,30,0,16:00,16:50,NICELY,214,true,false,false,false,false,false,Dana,Hamdan
11093,ECON,212,E6,Element.Macroeconomics Theory,0,AS,30,0,08:00,08:50,NICELY,323,true,false,false,false,false,false,Dana,Hamdan
11094,ECON,212,E7,Element.Macroeconomics Theory,0,AS,30,0,12:00,12:50,NICELY,414,true,false,false,false,false,false,Raja,Sabra
11095,ECON,212,E8,Element.Macroeconomics Theory,0,AS,30,0,11:00,11:50,NICELY,414,true,false,false,false,false,false,Raja,Sabra
11096,ECON,212,E9,Element.Macroeconomics Theory,0,AS,31,-1,16:00,16:50,NICELY,412,true,false,false,false,false,false,Ghina,Tabsh
11097,ECON,212,L1,Element.Macroeconomics Theory,3,AS,148,2,09:30,10:20,WEST,BATHISH,false,true,false,true,false,false,Malak,Makki
11098,ECON,212,L2,Element.Macroeconomics Theory,3,AS,150,0,11:00,11:50,WEST,BATHISH,false,true,false,true,false,false,Malak,Makki
11099,ECON,212,L3,Element.Macroeconomics Theory,3,AS,135,15,15:30,16:20,BIOL,SLH,false,true,false,true,false,false,Malak,Makki
11100,ECON,213,1,Economic Statistics I,3,AS,17,13,11:00,12:15,BLISS,203,false,true,false,true,false,false,Leila,Dagher
11101,ECON,213,2,Economic Statistics I,3,AS,14,16,12:30,13:45,NICELY,322,false,true,false,true,false,false,Leila,Dagher
11102,ECON,214,E1,Econ Statistics & Econometrics,0,AS,30,0,13:00,13:50,NICELY,414,false,false,false,false,true,false,Richard Albert,Sadaka
11103,ECON,214,E2,Econ Statistics & Econometrics,0,AS,25,5,14:00,14:50,NICELY,323,false,false,false,false,true,false,Richard Albert,Sadaka
11104,ECON,214,L,Econ Statistics & Econometrics,3,AS,55,5,13:00,13:50,NICELY,211,true,false,true,false,false,false,Richard Albert,Sadaka
11105,ECON,215,E1,Applied Econometrics,0,AS,29,-4,17:00,17:50,BLISS,203,false,false,false,false,true,false,Ali,Abboud
11106,ECON,215,E2,Applied Econometrics,0,AS,20,5,17:00,17:50,BLISS,203,true,false,false,false,false,false,Ali,Abboud
11107,ECON,215,L1,Applied Econometrics,3,AS,29,-4,13:00,13:50,NICELY,206,true,false,true,false,false,false,Ali,Abboud
11108,ECON,215,L2,Applied Econometrics,3,AS,20,5,14:00,14:50,NICELY,206,true,false,true,false,false,false,Ali,Abboud
11109,ECON,217,1,Intermediate Microeconomics I,3,AS,33,-3,11:00,12:15,NICELY,212,false,true,false,true,false,false,Nisreen,Salti
11110,ECON,217,2,Intermediate Microeconomics I,3,AS,27,3,09:30,10:45,NICELY,414,false,true,false,true,false,false,Ramzi,Mabsout
11111,ECON,217,3,Intermediate Microeconomics I,3,AS,23,7,15:30,16:45,NICELY,320,true,false,true,false,false,false,Ali,Abboud
11112,ECON,218,1,Behavioral Economics,3,AS,15,15,11:00,12:15,NICELY,325,false,true,false,true,false,false,Ramzi,Mabsout
11113,ECON,219,L,Econ.of Financial Markets,3,AS,8,17,15:30,16:45,NICELY,210,false,true,false,true,false,false,Usamah Husni,Ramadan
11114,ECON,222,1,Labor Economics,3,AS,23,2,12:30,13:45,NICELY,414,false,true,false,true,false,false,Nisreen,Salti
11115,ECON,226,1,Public Economics,3,AS,6,24,09:30,10:45,NICELY,322,false,true,false,true,false,false,.,STAFF
11116,ECON,227,1,Intermediate Macroeconomics,3,AS,23,2,14:00,15:15,NICELY,414,true,false,true,false,false,false,Muhammed Alpars,Tuncay
