CRN , Subject , Course Number , Section , Title ,  Credits , College , Actual Enroll , Seats Available ,Begin Time , End Time, Buildings, Room , Monday , Tuesday , Wednesday , Thursday , Friday , Saturday , Instructor First , Instructor Last
11832,IDTH,301,0,Intr.to Medical Sc. Literature,2,FM,15,5,11:01,12:29,.,.,false,false,false,false,true,false,Ayad A,Jaffa
11833,INDE,301,1,Engineering Economy,3,EA,16,29,08:00,09:15,BECHTA,212,false,true,false,true,false,false,Kassem,Ghorayeb
11834,INDE,301,2,Engineering Economy,3,EA,34,11,08:00,09:15,MAMC,207,false,true,false,true,false,false,Samir,Trabulsi
11835,INDE,301,3,Engineering Economy,3,EA,45,0,08:00,08:50,BECHTA,212,true,false,true,false,true,false,Nazim,Nouiehed
11836,INDE,301,4,Engineering Economy,3,EA,26,19,11:00,11:50,MAMC,207,true,false,true,false,true,false,Samir,Trabulsi
11837,INDE,301,5,Engineering Economy,3,EA,47,-2,11:00,12:15,BECHTA,212,false,true,false,true,false,false,Moueen,Salameh
11838,INDE,301,6,Engineering Economy,3,EA,22,23,08:00,08:50,IOEC,217,true,false,true,false,true,false,Majd,Olleik
11839,INDE,302,1,Operations Research I,3,EA,53,-8,09:30,10:45,BECHTA,111,false,true,false,true,false,false,Hussein,Tarhini
11840,INDE,302,2,Operations Research I,3,EA,56,-11,09:31,10:59,BECHTA,212,false,true,false,true,false,false,Ali,Yassine
11841,INDE,410,1,Engineering Ethics,3,EA,38,7,10:00,10:50,MAMC,207,true,false,true,false,true,false,Nadine Marie,Moacdieh
11842,INDE,410,2,Engineering Ethics,3,EA,42,3,08:00,08:50,BECHTA,204,true,false,true,false,true,false,Youssef,Saad
11843,INDE,410,3,Engineering Ethics,3,EA,46,-1,09:00,09:50,BECHTA,211,true,false,true,false,true,false,Youssef,Saad
11844,INDE,410,4,Engineering Ethics,3,EA,36,9,12:30,14:00,IOEC,217,true,false,true,false,false,false,Nadine Marie,Moacdieh
11845,INDE,410,5,Engineering Ethics,3,EA,0,0,14:00,15:15,BECHTA,212,false,true,false,true,false,false,.,STAFF
11846,INDE,411,1,Intr.to Project  Management,3,EA,44,13,15:30,16:50,BECHTA,211,true,false,true,false,false,false,Rana,Sfeir
11847,INDE,412,1,Engineering Entrepreneurship,3,EA,46,9,17:31,20:30,BECHTA,204,true,false,false,false,false,false,Maurice,Mattar
13062,INDE,412,2,Engineering Entrepreneurship,3,EA,0,0,17:31,20:30,BECHTA,211,false,false,false,true,false,false,.,STAFF
11848,INDE,421,1,Human Factors Engineering,3,EA,44,1,14:01,15:15,MAMC,207,true,false,true,false,false,false,Saif,Al-Qaisi
11849,INDE,501,1,Final Year Project I,3,EA,43,2,17:31,18:29,BECHTA,212,true,false,false,false,false,false,Hussein,Tarhini
11850,INDE,504,1,Discrete Event Simulation,4,EA,47,-2,08:00,09:29,SRB,413,false,true,false,true,false,false,Bacel,Maddah
11851,INDE,513,1,Information System,3,EA,44,1,14:00,15:15,IOEC,217,false,true,false,true,false,false,Hussein,Tarhini
11852,INFO,200,1,Foundations of Informat.Syst.,3,SB,34,-1,11:00,12:15,OSB,207,true,false,true,false,false,false,Elie,Semaan Nasr
11853,INFO,200,2,Foundations of Informat.Syst.,3,SB,31,2,12:30,13:45,OSB,207,true,false,true,false,false,false,Elie,Semaan Nasr
11854,INFO,200,3,Foundations of Informat.Syst.,3,SB,33,0,08:00,09:15,OSB,211,false,true,false,true,false,false,Mona,Zoughaib
11855,INFO,200,4,Foundations of Informat.Syst.,3,SB,33,0,09:30,10:45,OSB,206,false,true,false,true,false,false,Mona,Zoughaib
11856,INFO,200,5,Foundations of Informat.Syst.,3,SB,30,3,14:00,15:15,OSB,207,false,true,false,true,false,false,Wissam,Sammouri
11857,INFO,200,6,Foundations of Informat.Syst.,3,SB,31,2,15:30,16:45,OSB,207,false,true,false,true,false,false,Harry,Halpin
13044,INFO,200,7,Foundations of Informat.Syst.,3,SB,28,5,14:00,15:15,OSB,206,true,false,true,false,false,false,Walid,El Khazen
11858,INFO,226,1,Syst.Develop.& Database Design,3,SB,19,6,11:00,12:15,OSB,334,true,false,true,false,false,false,Randa,Salamoun
11859,INFO,227,1,Social Media in Digital Managm,3,SB,9,-1,14:00,15:15,OSB,236,true,false,true,false,false,false,Leila,Khauli Hanna
11860,INFO,235,1,Introduct. to AI for Business,3,SB,29,1,17:00,18:15,OSB,207,false,true,false,true,false,false,Walid,El Khazen
13053,INFO,250K,1,Int.to Blockchain for Business,3,SB,32,-7,12:30,13:45,OSB,207,false,true,false,true,false,false,Harry,Halpin
13171,INFP,300,1,MBA Integrative Foundat.Period,0,SB,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
13172,INFP,300,9,MBA Integrative Foundat.Period,0,SB,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
