CRN , Subject , Course Number , Section , Title ,  Credits , College , Actual Enroll , Seats Available ,Begin Time , End Time, Buildings, Room , Monday , Tuesday , Wednesday , Thursday , Friday , Saturday , Instructor First , Instructor Last
11890,MATH,101,E1,Calculus & Analytic Geometry I,0,AS,29,-4,15:00,15:50,NICELY,415,false,false,true,false,false,false,Rana,Nassif
11891,MATH,101,E2,Calculus & Analytic Geometry I,0,AS,29,-4,14:00,14:50,NICELY,320,false,false,false,false,true,false,Fatima,Mroue
11892,MATH,101,E3,Calculus & Analytic Geometry I,0,AS,33,-8,14:00,14:50,NICELY,320,false,false,true,false,false,false,Rana,Nassif
11893,MATH,101,L1,Calculus & Analytic Geometry I,3,AS,28,-3,10:00,10:50,NICELY,320,true,false,true,false,true,false,Fatima,Mroue
11894,MATH,101,L2,Calculus & Analytic Geometry I,3,AS,32,-7,13:00,13:50,NICELY,320,true,false,true,false,true,false,Zahi,Fawaz
11895,MATH,101,L3,Calculus & Analytic Geometry I,3,AS,31,-6,10:00,10:50,NICELY,321,true,false,true,false,true,false,Hassan,Yamani
11896,MATH,102,E1,Calculus & Analytical Geom. II,0,AS,11,9,09:30,10:20,NICELY,103,false,true,false,false,false,false,Joumana,Tannous
11897,MATH,102,E2,Calculus & Analytical Geom. II,0,AS,19,1,11:00,11:50,NICELY,320,false,true,false,false,false,false,Joumana,Tannous
11898,MATH,102,E3,Calculus & Analytical Geom. II,0,AS,8,12,08:00,08:50,NICELY,320,false,true,false,false,false,false,Joumana,Tannous
11899,MATH,102,L1,Calculus & Analytical Geom. II,3,AS,38,22,12:00,12:50,NICELY,415,true,false,true,false,true,false,Hassan,Yamani
11900,MATH,201,E1,Calculus & Analytical Geom.III,0,AS,26,-4,15:30,16:20,NICELY,214,false,false,false,true,false,false,Zahi,Fawaz
11901,MATH,201,E10,Calculus & Analytical Geom.III,0,AS,24,-1,16:00,16:50,NICELY,214,false,false,false,false,true,false,Lina,Rahhal
11902,MATH,201,E11,Calculus & Analytical Geom.III,0,AS,24,-2,17:00,17:50,NICELY,214,false,false,false,false,true,false,Lina,Rahhal
11903,MATH,201,E12,Calculus & Analytical Geom.III,0,AS,25,-2,11:00,11:50,NICELY,412,false,false,false,false,true,false,Lina,Rahhal
11904,MATH,201,E13,Calculus & Analytical Geom.III,0,AS,26,-4,11:00,11:50,NICELY,412,false,false,true,false,false,false,Lina,Rahhal
11905,MATH,201,E14,Calculus & Analytical Geom.III,0,AS,23,0,12:00,12:50,NICELY,412,false,false,true,false,false,false,Rana,Nassif
11906,MATH,201,E15,Calculus & Analytical Geom.III,0,AS,25,-3,13:00,13:50,NICELY,210,false,false,true,false,false,false,Rana,Nassif
11907,MATH,201,E16,Calculus & Analytical Geom.III,0,AS,25,-2,10:00,10:50,NICELY,210,false,false,true,false,false,false,Lina,Rahhal
11908,MATH,201,E17,Calculus & Analytical Geom.III,0,AS,24,-2,10:00,10:50,NICELY,214,false,false,false,false,true,false,Rana,Nassif
11909,MATH,201,E18,Calculus & Analytical Geom.III,0,AS,21,2,08:00,08:50,NICELY,416,false,false,false,false,true,false,Hagop,Karakazian
11910,MATH,201,E19,Calculus & Analytical Geom.III,0,AS,27,-5,12:00,12:50,NICELY,214,false,false,false,false,true,false,Rana,Nassif
