CRN , Subject , Course Number , Section , Title ,  Credits , College , Actual Enroll , Seats Available ,Begin Time , End Time, Buildings, Room , Monday , Tuesday , Wednesday , Thursday , Friday , Saturday , Instructor First , Instructor Last
12291,NFSC,210,1,Statist.in Nutrtion &Food Scie,3,AG,26,-6,08:00,09:59,AGRIC,102,false,true,false,false,false,false,Samer,Kharroubi
13120,NFSC,210,2,Statist.in Nutrtion &Food Scie,3,AG,15,0,08:00,09:55,AGRIC,209,false,false,true,false,false,false,Samer,Kharroubi
13056,NFSC,215,1,Gender  Food & Nutrition,3,AG,24,-12,09:00,09:50,AGRIC,201,true,false,true,false,true,false,Lara,Nasreddine
12292,NFSC,220,1,Food & Nutrition Awareness,3,AG,42,-2,12:30,13:45,AGRIC,205,false,true,false,true,false,false,Carla,Habib Mourad
12293,NFSC,220,2,Food & Nutrition Awareness,3,AG,39,-1,15:00,16:15,.,.,true,false,true,false,false,false,Laura,Hjeij
12294,NFSC,221,1,Basic Nutrition,3,AG,26,14,11:00,12:15,AGRIC,102,false,true,false,true,false,false,Nahla C.,Hwalla
12295,NFSC,222,1,Community Nutrition,3,AG,36,4,15:00,16:15,AGRIC,102,true,false,true,false,false,false,Lamis,Jomaa
12296,NFSC,223,1,Nutrition & Physical Activity,3,AG,25,-10,15:30,16:45,AGRIC,205,false,true,false,true,false,false,Elie-Jacques,Fares
12297,NFSC,229,1,Menu Planning,1,AG,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
12298,NFSC,240,1,Nutritional Status Assessment,2,AG,15,0,10:00,10:50,AGRIC,205,false,true,false,false,false,false,Carla,El Mallah
12299,NFSC,240,2,Nutritional Status Assessment,2,AG,16,-1,10:00,10:50,AGRIC,205,false,true,false,false,false,false,Carla,El Mallah
12300,NFSC,240,3,Nutritional Status Assessment,2,AG,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
12301,NFSC,252,1,Intr.to Food Processing,3,AG,30,-5,10:00,10:50,AGRIC,211,true,false,true,false,true,false,Basma,Diryan
12302,NFSC,252,2,Intr.to Food Processing,3,AG,29,-4,12:00,12:50,.,.,true,false,true,false,true,false,Basma,Diryan
12303,NFSC,261,1,Introductory Biochemistry,3,AG,28,7,12:00,12:50,AGRIC,205,true,false,true,false,true,false,Imad,Toufeili
12304,NFSC,265,1,Food Chemistry,3,AG,16,14,10:00,10:50,AGRIC,205,true,false,true,false,true,false,Imad,Toufeili
12305,NFSC,267,1,Food Analysis,2,AG,12,0,11:00,13:58,AGRIC,417,false,true,false,false,false,false,Basma,Diryan
12306,NFSC,267,2,Food Analysis,2,AG,12,0,11:00,13:58,AGRIC,417,false,false,false,true,false,false,Basma,Diryan
12307,NFSC,274,1,Human Nutrition & Metabolism,3,AG,28,12,09:00,09:50,AGRIC,205,true,false,true,false,true,false,Omar,Obeid
12308,NFSC,277,1,Food Microbiology I,3,AG,40,-10,14:30,15:45,AGRIC,102,false,true,false,true,false,false,Christelle,Iskandar
12309,NFSC,279,1,Med.Nut.Therapy Lab.I for NDCP,1,AG,7,8,10:00,12:30,AGRIC,210,false,false,false,false,true,false,Marie Claire,Chamieh
12310,NFSC,282,1,Food Quality Management,3,AG,27,0,11:00,12:15,AGRIC,205,false,true,false,true,false,false,Christelle,Iskandar
12311,NFSC,282,2,Food Quality Management,3,AG,20,5,08:45,09:58,.,.,true,false,true,false,false,false,Reem,Hamzeh
12312,NFSC,283,1,Nutrition Education & Communic,3,AG,7,8,14:00,16:58,AGRIC,310,false,false,false,false,true,false,Lamis,Jomaa
12313,NFSC,284A,1,Seminar in Clinical Dietetics,1,AG,7,8,13:00,13:58,AGRIC,310,false,false,false,false,true,false,Marie Claire,Chamieh
12314,NFSC,287,1,Food Processing,2,AG,18,-3,10:00,10:50,AGRIC,210,true,false,true,false,false,false,Hamza,Daroub
12315,NFSC,288,1,Technology of Food Products,3,AG,10,0,10:00,10:50,AGRIC,211,false,true,false,true,false,false,Hamza,Daroub
12316,NFSC,288,2,Technology of Food Products,3,AG,11,-1,10:00,10:50,AGRIC,211,false,true,false,true,false,false,Hamza,Daroub
12317,NFSC,289,1,Food Processing Lab.,1,AG,14,1,13:00,15:58,AGRIC,PILOT PLAN,false,false,false,false,true,false,Hamza,Daroub
12318,NFSC,290,1,Food Service Management,3,AG,5,7,11:00,11:50,AGRIC,203,false,true,false,true,false,false,Jennifer,Ayoub
12319,NFSC,290,2,Food Service Management,3,AG,8,4,11:00,11:50,AGRIC,203,false,true,false,true,false,false,Jennifer,Ayoub
12320,NFSC,292,1,Medical Nutrition Therapy I,3,AG,39,1,07:45,08:59,AGRIC,205,true,false,true,false,false,false,Abir,Noureddine
12321,NFSC,294,1,Med.Nut.Therapy Lab.I for NTDT,1,AG,19,-4,12:00,14:28,AGRIC,210,false,true,false,false,false,false,Marie Claire,Chamieh
12322,NFSC,294,2,Med.Nut.Therapy Lab.I for NTDT,1,AG,13,2,12:00,14:28,AGRIC,210,false,false,false,true,false,false,Marie Claire,Chamieh
12323,NFSC,296,1,Current Tp:Food Sc.& Nutrition,1,AG,19,21,17:00,17:50,AGRIC,205,false,true,false,false,false,false,Laura,Hjeij
12324,NFSC,298F,1,Dietetics Internship,6.5,AG,7,13,.,.,.,.,false,false,false,false,false,false,Marie Claire,Chamieh
12325,NFSC,298I,1,Internship,2,AG,8,7,.,.,.,.,false,false,false,false,false,false,Jennifer,Ayoub
12326,NFSC,298IA,1,Internship,0,AG,10,5,.,.,.,.,false,false,false,false,false,false,Jennifer,Ayoub
12327,NFSC,298IB,1,Internship,0,AG,0,5,.,.,.,.,false,false,false,false,false,false,Jennifer,Ayoub
12328,NFSC,299,1,Projects:Nutrion & Food Sci.,2,AG,3,3,15:00,15:50,AGRIC,203,false,true,false,false,false,false,Mohamad Ghassan,Abiad
12329,NFSC,299,2,Projects:Nutrion & Food Sci.,2,AG,0,6,.,.,.,.,false,false,false,false,false,false,.,STAFF
12330,NFSC,299,3,Projects:Nutrion & Food Sci.,2,AG,0,6,.,.,.,.,false,false,false,false,false,false,.,STAFF
