CRN , Subject , Course Number , Section , Title ,  Credits , College , Actual Enroll , Seats Available ,Begin Time , End Time, Buildings, Room , Monday , Tuesday , Wednesday , Thursday , Friday , Saturday , Instructor First , Instructor Last
12904,SART,200,1,Drawing,3,AS,7,5,12:30,14:50,NICELY,408,false,true,false,true,false,false,Walid,Sadek
12905,SART,202,1,Painting II,3,AS,4,8,15:30,17:50,NICELY,102,false,true,false,true,false,false,.,STAFF
12906,SART,203,1,Sculpture,3,AS,7,5,09:30,11:50,NICELY,213,false,true,false,true,false,false,Walid,Sadek
12907,SART,205,1,The Technological Imagination,3,AS,7,5,14:00,16:20,NICELY,102,true,false,true,false,false,false,Walid,Sadek
12908,SART,206,1,Reproducible Image I,3,AS,11,1,09:00,11:20,NICELY,401,true,false,true,false,false,false,Paul Alexander,Gorra
12909,SART,208,1,Reproducible Image III,3,AS,4,8,12:30,14:50,NICELY,.,false,true,false,true,false,false,Jad,Youssef
13311,SHRP,310,1,Basic Biostatistics,3,MH,18,2,.,.,.,.,false,false,false,false,false,false,.,STAFF
13312,SHRP,315,1,Research Ethics &Resp.Conduct,0,MH,21,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
13197,SHRP,321A,1,Clinical Trial Protocol,2,MH,4,21,16:00,17:25,.,.,false,false,false,true,false,false,Ghada,El-Hajj Fuleihan
13313,SHRP,325,1,Library Science/Informatics,0,MH,18,2,.,.,.,.,false,false,false,false,false,false,.,STAFF
12910,SHRP,329A,1,Guideline Developmnt&Adaptatio,0,MH,0,5,.,.,.,.,false,false,false,false,false,false,.,STAFF
13243,SHRP,332,1,Applied Survival Analysis,0,MH,10,10,15:30,16:25,.,.,false,true,false,false,false,false,Ziyad,Mahfoud
12911,SHRP,345,1,Survival analysis,0,MH,0,5,.,.,.,.,false,false,false,false,false,false,.,STAFF
13244,SHRP,360,1,Introduction to Data Science,0,MH,3,17,12:01,13:29,.,.,false,false,true,false,false,false,Rami,Farran
12912,SHRP,400,1,Research Thesis,6,MH,2,3,.,.,.,.,false,false,false,false,false,false,.,STAFF
